QA,Picture,Text
0,None,Il cliente mi chiude la ricerca
0,None,Il candidato accetta una controfferta
0,None,Il cliente firma il contratto
0,None,Il cliente non firma il contratto
0,None,Solo a success fee!
0,None,Ma la ricerca è "marcia"
0,None,Hai chiuso la ricerca!
0,None,Solo di sabato mattina
0,None,Il candidato arriva con 30 minuti di ritardo.
0,None,Il candidato non si presenta all'appuntamento!
0,None,Ti hanno tolto LinkedIn Recruiter!
0,None,Ti hanno dato LinkedIn Recruiter!
0,None,Il database non è più accessibile!
0,None,Il database è fatto di fogli Excel
0,None,Il candidato non risponde al telefono
0,None,Ho fatto brillare il datacenter con il C4
0,None,Il candidato è arrivato ubriaco

